时间,URL,方法,状态,耗时(ms),错误信息
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=monthly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=monthly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601066&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601066&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601066&scale=monthly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000001&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000001&scale=monthly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000333&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600690&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600690&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000651&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000651&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600329&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000423&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000423&scale=monthly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000538&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600900&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600900&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600795&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600938&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600938&scale=monthly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601857&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=daily",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=weekly",GET,缓存,,
2026/8/3 15:06:00,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=7200&ma=no&datalen=80",GET,失败,27922,Load failed
2026/8/3 15:06:28,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=240&ma=no&datalen=80",GET,失败,16605,代理请求失败 (408)
2026/8/3 15:06:28,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=1200&ma=no&datalen=80",GET,失败,16601,代理请求失败 (408)
2026/8/3 15:06:28,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=7200&ma=no&datalen=80",GET,进行中,,
