时间,URL,方法,状态,耗时(ms),错误信息
2026/8/3 14:09:12,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=240&ma=no&datalen=80",GET,失败,319,新浪接口请求失败 (404)
2026/8/3 14:09:12,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=1200&ma=no&datalen=80",GET,失败,312,新浪接口请求失败 (404)
2026/8/3 14:09:12,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=7200&ma=no&datalen=80",GET,失败,319,新浪接口请求失败 (404)
2026/8/3 14:09:13,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=240&ma=no&datalen=80",GET,失败,199,新浪接口请求失败 (404)
2026/8/3 14:09:13,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=1200&ma=no&datalen=80",GET,失败,191,新浪接口请求失败 (404)
2026/8/3 14:09:13,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=7200&ma=no&datalen=80",GET,失败,208,新浪接口请求失败 (404)
2026/8/3 14:09:13,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=240&ma=no&datalen=80",GET,失败,152,新浪接口请求失败 (404)
2026/8/3 14:09:13,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=1200&ma=no&datalen=80",GET,失败,161,新浪接口请求失败 (404)
2026/8/3 14:09:13,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=7200&ma=no&datalen=80",GET,失败,169,新浪接口请求失败 (404)
2026/8/3 14:09:14,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=240&ma=no&datalen=80",GET,失败,233,新浪接口请求失败 (404)
2026/8/3 14:09:14,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=1200&ma=no&datalen=80",GET,失败,228,新浪接口请求失败 (404)
2026/8/3 14:09:14,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=7200&ma=no&datalen=80",GET,失败,228,新浪接口请求失败 (404)
2026/8/3 14:09:14,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600030&scale=240&ma=no&datalen=80",GET,失败,167,新浪接口请求失败 (404)
2026/8/3 14:09:14,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600030&scale=1200&ma=no&datalen=80",GET,失败,155,新浪接口请求失败 (404)
2026/8/3 14:09:14,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600030&scale=7200&ma=no&datalen=80",GET,失败,325,新浪接口请求失败 (404)
2026/8/3 14:09:15,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601066&scale=240&ma=no&datalen=80",GET,失败,219,新浪接口请求失败 (404)
2026/8/3 14:09:15,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601066&scale=1200&ma=no&datalen=80",GET,失败,218,新浪接口请求失败 (404)
2026/8/3 14:09:15,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601066&scale=7200&ma=no&datalen=80",GET,失败,218,新浪接口请求失败 (404)
2026/8/3 14:09:15,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000001&scale=240&ma=no&datalen=80",GET,失败,270,新浪接口请求失败 (404)
2026/8/3 14:09:15,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000001&scale=1200&ma=no&datalen=80",GET,失败,265,新浪接口请求失败 (404)
2026/8/3 14:09:15,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000001&scale=7200&ma=no&datalen=80",GET,失败,265,新浪接口请求失败 (404)
2026/8/3 14:09:16,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000333&scale=240&ma=no&datalen=80",GET,失败,143,新浪接口请求失败 (404)
2026/8/3 14:09:16,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000333&scale=1200&ma=no&datalen=80",GET,失败,269,新浪接口请求失败 (404)
2026/8/3 14:09:16,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz000333&scale=7200&ma=no&datalen=80",GET,失败,163,新浪接口请求失败 (404)
2026/8/3 14:09:16,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600690&scale=240&ma=no&datalen=80",GET,失败,329,新浪接口请求失败 (404)
2026/8/3 14:09:16,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600690&scale=1200&ma=no&datalen=80",GET,失败,328,新浪接口请求失败 (404)
